quadOriginal,quad,time,dates,ini.date,fin.date,elap.yr,site,ID,ini.area,ini.perim,ini.feret,ini.notes,fin.area,fin.perim,fin.feret,fin.notes,tran,survival,ini.areaLN,fin.areaLN
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_37,0.584,2.813,1.011,NA,0.668,2.959,0.962,,B,1,-0.537854296,-0.403467105
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_38,0.709,3.087,1.043,NA,0.801,3.264,1.089,,B,1,-0.343899752,-0.221894332
B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B1_41,0.115,1.241,0.429,NA,0.249,1.831,0.617,,B,1,-2.162823151,-1.390302383
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_4,1.419,4.371,1.465,NA,1.546,4.539,1.506,,B,1,0.349952398,0.43567095
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_5,0.213,1.664,0.564,NA,0.472,2.505,0.83,,B,1,-1.546463113,-0.750776293
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_6,0.4,2.323,0.809,NA,0.569,2.763,0.965,,B,1,-0.916290732,-0.563874845
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_7,0.728,3.145,1.113,NA,0.761,3.173,1.067,,B,1,-0.317454231,-0.273121921
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_8,0.934,3.603,1.242,NA,1.03,3.71,1.246,,B,1,-0.068278841,0.029558802
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_9,0.585,2.822,0.997,NA,0.763,3.204,1.138,,B,1,-0.536143432,-0.270497248
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_10,1.038,3.781,1.303,NA,1.059,3.779,1.274,,B,1,0.037295785,0.057325067
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_11,0.065,0.919,0.328,NA,0.002,0.57,0.283,gone,B,0,-2.733368009,-6.214608098
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_12,0.855,3.438,1.264,NA,0.911,3.559,1.233,,B,1,-0.15665381,-0.093212382
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_14,0.344,2.153,0.745,NA,0.476,2.504,0.843,,B,1,-1.067113622,-0.742337425
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_15,0.317,2.093,0.73,NA,0.578,2.772,0.942,,B,1,-1.148853505,-0.54818141
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_16,0.076,1.017,0.369,NA,0.132,1.352,0.459,,B,1,-2.577021939,-2.024953356
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_17,0.627,2.93,1.021,NA,0.522,2.683,0.968,angle,B,1,-0.466808738,-0.650087691
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_18,0.108,1.21,0.441,NA,0.124,1.28,0.435,,B,1,-2.225624052,-2.087473713
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_21,1.023,3.731,1.296,NA,0.002,0.672,0.335,gone,B,0,0.022739487,-6.214608098
B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,B2_24,0.313,2.048,0.695,NA,0.467,2.498,0.859,,B,1,-1.161552088,-0.761426021
