quadOriginal,quad,time,dates,ini.date,fin.date,elap.yr,site,ID,ini.area,ini.perim,ini.feret,ini.notes,fin.area,fin.perim,fin.feret,fin.notes,tran,survival,ini.areaLN,fin.areaLN
SC1_63,SC1_63,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_9,0.137,NA,NA,NA,0.376,NA,NA,angle,SC1,1,-1.987774353,-0.978166136
SC1_64,SC1_64,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_64_1,0.208,NA,NA,NA,0.000719,NA,NA,dead,SC1,0,-1.570217199,-7.2376492
SC1_64,SC1_64,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_64_2,0.348,NA,NA,NA,0.401,NA,NA,angle,SC1,1,-1.055552799,-0.913793852
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_1,0.305,NA,NA,NA,0.251,NA,NA,angle,SC4,1,-1.187443502,-1.38230234
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_3,0.12,NA,NA,NA,0.172,NA,NA,,SC4,1,-2.120263536,-1.760260802
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_4,0.327,NA,NA,NA,0.623,NA,NA,,SC4,1,-1.117795108,-0.47320876
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_5,0.709,NA,NA,NA,0.000435,NA,NA,dead,SC4,0,-0.343899752,-7.740164527
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_7,0.695,NA,NA,NA,0.681,NA,NA,,SC4,1,-0.363843433,-0.384192973
SC4_36,SC4_36,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_8,0.218,NA,NA,NA,0.000869,NA,NA,dead,SC4,0,-1.523260216,-7.048167433
SC4_45,SC4_45,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_45_1,0.793,NA,NA,NA,0.843,NA,NA,angle,SC4,1,-0.231932057,-0.170788321
SC4_45,SC4_45,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_45_2,0.616,NA,NA,NA,0.663,NA,NA,,SC4,1,-0.484508315,-0.410980289
SC4_45,SC4_45,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_45_4,0.921,NA,NA,NA,1.004,NA,NA,,SC4,1,-0.082295243,0.003992021
SC4_51,SC4_51,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_51_1,0.831,NA,NA,NA,0.906,NA,NA,,SC4,1,-0.185125484,-0.098715973
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_2,0.121,NA,NA,NA,0.308,NA,NA,,SC5,1,-2.111964733,-1.177655496
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_3,0.287,NA,NA,NA,0.503,NA,NA,,SC5,1,-1.248273063,-0.687165109
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_4,0.149,NA,NA,NA,0.171,NA,NA,,SC5,1,-1.903808973,-1.766091722
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_5,0.112,NA,NA,NA,0.000289,NA,NA,dead,SC5,0,-2.189256408,-8.14908387
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_6,0.273,NA,NA,NA,0.413,NA,NA,,SC5,1,-1.298283484,-0.884307686
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_7,0.304,NA,NA,NA,0.408,NA,NA,,SC5,1,-1.190727578,-0.896488105
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_8,0.429,NA,NA,NA,0.653,NA,NA,,SC5,1,-0.84629836,-0.42617815
SC5_34,SC5_34,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_9,0.076,NA,NA,NA,0.221,NA,NA,,SC5,1,-2.577021939,-1.509592577
SC5_47,SC5_47,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_11,0.322,NA,NA,NA,0.522,NA,NA,,SC5,1,-1.133203733,-0.650087691
SC5_47,SC5_47,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_3,0.256,NA,NA,NA,0.597,NA,NA,,SC5,1,-1.362577835,-0.515838166
SC5_47,SC5_47,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_5,0.313,NA,NA,NA,0.481,NA,NA,,SC5,1,-1.161552088,-0.731888009
SC5_47,SC5_47,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_6,0.215,NA,NA,NA,0.459,NA,NA,,SC5,1,-1.537117251,-0.778705069
SC5_47,SC5_47,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_8,0.095,NA,NA,NA,0.45,NA,NA,,SC5,1,-2.353878387,-0.798507696
SC5_49,SC5_49,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_11,0.425,NA,NA,NA,0.424,NA,NA,,SC5,1,-0.85566611,-0.858021824
SC5_49,SC5_49,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_3,0.205,NA,NA,NA,0.404,NA,NA,,SC5,1,-1.5847453,-0.906340401
SC5_49,SC5_49,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_5,0.289,NA,NA,NA,0.314,NA,NA,,SC5,1,-1.241328591,-1.158362293
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_1,0.307,NA,NA,NA,0.394,NA,NA,,SC5,1,-1.180907531,-0.93140437
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_10,0.137,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-1.987774353,-8.156028342
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_11,0.35,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-1.049822124,-8.156028342
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_15,0.116,NA,NA,NA,0.185,NA,NA,,SC5,1,-2.154165088,-1.687399454
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_16,0.114,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-2.171556831,-8.156028342
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_17,0.534,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-0.62735944,-8.156028342
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_18,0.221,NA,NA,NA,0.452,NA,NA,,SC5,1,-1.509592577,-0.794073099
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_2,0.423,NA,NA,NA,0.706,NA,NA,,SC5,1,-0.8603831,-0.348140041
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_3,0.392,NA,NA,NA,0.628,NA,NA,angle,SC5,1,-0.936493439,-0.465215113
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_4,0.537,NA,NA,NA,0.000144,NA,NA,dead,SC5,0,-0.621757184,-8.845697258
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_5,0.137,NA,NA,NA,0.000431,NA,NA,dead,SC5,0,-1.987774353,-7.749402468
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_6,0.161,NA,NA,NA,0.296,NA,NA,,SC5,1,-1.826350914,-1.217395825
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_8,0.43,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-0.84397007,-8.156028342
SC5_50,SC5_50,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_9,0.186,NA,NA,NA,0.000287,NA,NA,dead,SC5,0,-1.682008605,-8.156028342
SC6_18,SC6_18,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_18_1,0.227,NA,NA,NA,0.348,NA,NA,angle,SC6,1,-1.482805262,-1.055552799
SC6_18,SC6_18,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_18_2,0.191,NA,NA,NA,0.348,NA,NA,angle,SC6,1,-1.655481851,-1.055552799
SC6_18,SC6_18,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_18_3,0.384,NA,NA,NA,0.000144,NA,NA,dead,SC6,0,-0.957112726,-8.845697258
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_1,0.275,NA,NA,NA,0.45,NA,NA,angle,SC6,1,-1.290984181,-0.798507696
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_10,0.629,NA,NA,NA,0.000581,NA,NA,dead,SC6,0,-0.463624022,-7.450759801
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_11,0.033,NA,NA,NA,0.301,NA,NA,,SC6,1,-3.411247718,-1.200645014
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_2,0.495,NA,NA,NA,0.91,NA,NA,,SC6,1,-0.703197516,-0.094310679
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_3,0.482,NA,NA,NA,0.45,NA,NA,angle,SC6,1,-0.729811165,-0.798507696
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_4,0.43,NA,NA,NA,0.395,NA,NA,,SC6,1,-0.84397007,-0.928869514
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_5,0.596,NA,NA,NA,0.647,NA,NA,,SC6,1,-0.517514612,-0.435408984
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_6,0.509,NA,NA,NA,0.801,NA,NA,,SC6,1,-0.675307262,-0.221894332
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_7,0.155,NA,NA,NA,0.303,NA,NA,,SC6,1,-1.864330162,-1.194022473
SC6_21,SC6_21,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_21_9,0.059,NA,NA,NA,0,NA,NA,dead,SC6,0,-2.830217835,#NAME?
SC6_33,SC6_33,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC6_33_1,0.257,NA,NA,NA,0.229,NA,NA,angle,SC6,1,-1.358679194,-1.474033275
SC7_2,SC7_2,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_2_3,0.111,NA,NA,NA,0.000431,NA,NA,dead,SC7,0,-2.198225078,-7.749402468
SC7_2,SC7_2,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_2_6,0.404,NA,NA,NA,0.000144,NA,NA,dead,SC7,0,-0.906340401,-8.845697258
SC7_2,SC7_2,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_2_9,0.047,NA,NA,NA,0.253,NA,NA,,SC7,1,-3.057607677,-1.37436579
SC7_3,SC7_3,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_3_2,0.581,NA,NA,NA,0.565,NA,NA,angle,SC7,1,-0.543004522,-0.570929548
SC7_3,SC7_3,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_3_3,0.69,NA,NA,NA,0.603,NA,NA,,SC7,1,-0.371063681,-0.505838082
SC7_3,SC7_3,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_3_4,0.744,NA,NA,NA,0.000868,NA,NA,dead,SC7,0,-0.295714244,-7.049318843
SC7_4,SC7_4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_1,0.209,NA,NA,NA,0.371,NA,NA,,SC7,1,-1.565421027,-0.991553216
SC7_4,SC7_4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_5,0.062,NA,NA,NA,0.191,NA,NA,,SC7,1,-2.780620894,-1.655481851
SC7_4,SC7_4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC7_4_6,0.626,NA,NA,NA,0.699,NA,NA,,SC7,1,-0.468404908,-0.358104537
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_1,0.375,NA,NA,NA,0.531,NA,NA,,SC8,1,-0.980829253,-0.632993258
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_10,0.801,NA,NA,NA,0.662,NA,NA,,SC8,1,-0.221894332,-0.412489723
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_11,0.34,NA,NA,NA,0.253,NA,NA,angle,SC8,1,-1.078809661,-1.37436579
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_12,0.513,NA,NA,NA,0.618,NA,NA,,SC8,1,-0.667479434,-0.481266822
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_14,0.649,NA,NA,NA,0.683,NA,NA,,SC8,1,-0.432322562,-0.381260419
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_15,0.527,NA,NA,NA,0.442,NA,NA,,SC8,1,-0.64055473,-0.816445397
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_16,0.395,NA,NA,NA,0.44,NA,NA,,SC8,1,-0.928869514,-0.820980552
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_17,0.454,NA,NA,NA,0.503,NA,NA,angle,SC8,1,-0.789658081,-0.687165109
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_19,0.08,NA,NA,NA,0.443,NA,NA,,SC8,1,-2.525728644,-0.814185509
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_20,0.187,NA,NA,NA,0.000587,NA,NA,dead,SC8,0,-1.676646662,-7.440485738
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_21,0.306,NA,NA,NA,0.523,NA,NA,,SC8,1,-1.184170177,-0.648173815
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_22,0.394,NA,NA,NA,0.315,NA,NA,angle,SC8,1,-0.93140437,-1.15518264
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_4,0.48,NA,NA,NA,0.59,NA,NA,,SC8,1,-0.733969175,-0.527632742
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_5,0.272,NA,NA,NA,0.182,NA,NA,,SC8,1,-1.301953213,-1.703748592
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_6,0.276,NA,NA,NA,0.277,NA,NA,,SC8,1,-1.287354413,-1.283737773
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_7,0.585,NA,NA,NA,0.63,NA,NA,,SC8,1,-0.536143432,-0.46203546
SC8_38,SC8_38,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC8_38_8,0.163,NA,NA,NA,0.434,NA,NA,,SC8,1,-1.814005078,-0.834710745
