orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
39,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,26,B26,26,0.273,1.899,0.624,,26,0.398,2.296,0.79,angle,B
40,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,27,B27,27,0.584,2.791,0.967,,27,0.5,2.566,0.865,,B
41,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,28,B28,28,0.377,2.227,0.737,,28,0.501,2.579,0.862,,B
42,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,29,B29,29,0.489,2.591,0.881,,29,0.449,2.441,0.839,,B
43,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,30,B30,30,0.973,3.634,1.281,,30,0.919,3.555,1.302,angle,B
44,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,31,B31,31,0.66,2.977,1.046,,31,0.731,3.132,1.084,,B
45,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,32,B32,32,0.223,1.724,0.58,,32,0.472,2.514,0.876,angle,B
46,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,33,B33,33,0.001,0.395,0.197,angle,33,0.004,0.821,0.409,nv,B
47,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,34,B34,34,0.011,0.74,0.365,angle,34,0.002,0.605,0.302,nv,B
48,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,35,B35,35,9.49E-04,0.773,0.386,angle,35,0.001,0.64,0.32,nv,B
49,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,36,B36,36,0.361,2.186,0.735,,36,0.331,2.107,0.715,nv,B
50,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,37,B37,37,0.584,2.813,1.011,,37,0.668,2.959,0.962,,B
51,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,38,B38,38,0.709,3.087,1.043,,38,0.801,3.264,1.089,,B
52,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,39,B39,39,0.004,0.746,0.373,nv,39,0.004,0.66,0.329,gone,B
53,B1_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,40,B40,40,0.001,0.901,0.449,nv,40,0.001,0.76,0.389,gone,B
