orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
164,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,48,B48,NA,NA,NA,NA,nv,48,0.069,0.949,0.321,recruit,B
165,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,B1,1,0.155,1.435,0.498,fuzzy,1,0.288,1.977,0.674,angle,B
166,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,B2,2,0.077,1.003,0.343,fuzzy,2,0.052,0.832,0.286,,B
167,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,B3,3,0.732,3.145,1.145,angle,3,0.768,3.252,1.145,,B
168,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,B4,4,0.607,2.879,1.005,,4,0.84,3.336,1.109,,B
169,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,5,B5,5,0.582,2.809,0.971,,5,0.003,0.603,0.297,gone,B
170,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,6,B6,6,0.589,2.808,0.989,,6,0.004,0.674,0.334,gone,B
171,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,7,B7,7,0.528,2.667,0.911,,7,0.653,2.981,1.041,,B
172,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,8,B8,8,0.968,3.602,1.238,,8,2.76E-04,0.444,0.222,gone,B
173,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,9,B9,9,0.286,1.948,0.655,,9,0.556,2.733,0.913,,B
174,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,10,B10,10,0.304,2.023,0.684,,10,0.578,2.789,0.927,,B
175,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,11,B11,11,0.597,2.828,0.952,,11,0.667,2.993,1.032,,B
176,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,12,B12,12,0.852,3.402,1.176,,12,1.003,3.674,1.287,,B
177,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,13,B13,13,0.588,2.818,1.003,,13,0.661,2.958,1.026,angle,B
178,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,14,B14,14,0.304,2.019,0.687,,14,0.002,0.834,0.424,nv,B
179,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,15,B15,15,0.991,3.653,1.239,,15,8.29E-04,0.772,0.386,nv,B
180,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,16,B16,16,0.662,2.98,1.013,,16,0.007,0.948,0.473,nv,B
181,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,17,B17,17,0.436,2.428,0.846,,17,0.726,3.101,1.053,,B
182,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,18,B18,18,0.459,2.493,0.889,,18,0.586,2.906,1.101,angle,B
183,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,19,B19,19,0.683,3.04,1.07,,19,0.907,3.547,1.291,,B
184,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,20,B20,20,0.903,3.541,1.312,,20,1.118,3.932,1.38,,B
185,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,21,B21,21,0.11,1.207,0.429,,21,0.001,0.373,0.186,gone,B
186,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,22,B22,22,0.676,2.999,0.994,,22,0.846,3.349,1.094,,B
187,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,23,B23,23,0.077,1.021,0.355,,23,0.328,2.068,0.686,,B
188,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,24,B24,24,0.532,2.675,0.905,,24,0.538,2.685,0.911,angle,B
189,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,25,B25,25,0.917,3.545,1.262,,25,1.141,3.92,1.365,,B
190,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,26,B26,26,0.339,2.142,0.724,,26,0.346,2.151,0.73,nv,B
191,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,27,B27,27,0.326,2.092,0.731,,27,0.374,2.241,0.744,angle,B
192,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,28,B28,28,0.004,0.733,0.365,nv,28,0.001,0.607,0.303,gone,B
193,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,29,B29,29,0.818,3.31,1.183,,29,1.01,3.652,1.254,,B
194,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,30,B30,30,0.609,2.824,0.944,nv,30,0.76,3.174,1.052,overgrown,B
195,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,31,B31,31,0.237,1.775,0.624,,31,0.358,2.191,0.751,,B
196,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,32,B32,32,0.821,3.327,1.13,,32,1.014,3.673,1.265,,B
197,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,33,B33,33,0.432,2.436,0.882,,33,0.465,2.523,0.923,fuzzy,B
198,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,34,B34,34,1.442,4.471,1.616,angle,34,1.616,4.664,1.642,fuzzy,B
199,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,35,B35,35,1.05,3.769,1.365,,35,0.003,0.603,0.301,gone,B
200,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,36,B36,36,0.003,0.406,0.221,nv,36,0.265,1.896,0.678,,B
201,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,37,B37,37,0.736,3.127,1.102,,37,0.881,3.402,1.158,,B
202,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,38,B38,38,0.662,3.031,1.083,,38,0.827,3.342,1.142,,B
203,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,39,B39,39,0.008,1.045,0.522,nv,39,0.077,1.017,0.368,,B
204,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,40,B40,40,0.205,1.648,0.568,,40,0.309,2.037,0.698,,B
205,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,41,B41,41,NA,NA,NA,nv,41,0.059,0.89,0.319,,B
206,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,42,B42,42,NA,NA,NA,nv,42,2.76E-04,0.566,0.283,nv,B
207,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,43,B43,43,NA,NA,NA,nv,43,0.101,1.153,0.397,,B
208,B4_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,44,B44,44,NA,NA,NA,nv,44,0.108,1.21,0.432,,B
209,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,D1,1,0.672,3.013,1.02,,1,0.849,3.365,1.137,,D
210,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,D2,2,0.557,2.721,0.912,angle,2,0.628,2.9,0.977,,D
211,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,D3,3,0.322,2.08,0.735,fuzzy,3,0.004,0.811,0.404,nv,D
212,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,D4,4,0.979,3.612,1.226,tentacles,4,0.842,3.372,1.169,,D
213,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,5,D5,5,0.903,3.493,1.192,tentacles,5,0.742,3.147,1.064,,D
214,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,6,D6,6,1.065,3.79,1.28,tentacles,6,0.977,3.661,1.317,,D
215,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,7,D7,7,0.54,2.657,0.882,tentacles,7,0.558,2.724,0.92,angle,D
216,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,8,D8,8,0.806,3.317,1.171,,8,0.939,3.568,1.231,,D
217,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,9,D9,9,0.118,1.26,0.426,,9,0.542,2.692,0.921,,D
218,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,10,D10,10,0.062,0.909,0.318,,10,0.309,2.025,0.668,,D
219,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,11,D11,11,0.841,3.361,1.191,tentacles,11,0.84,3.374,1.175,,D
220,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,12,D12,12,0.242,1.795,0.61,,12,0.405,2.322,0.779,,D
221,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,13,D13,13,0.566,2.744,0.925,tentacles,13,0.499,2.586,0.869,,D
222,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,14,D14,14,0.546,2.697,0.937,tentacles,14,0.471,2.516,0.891,,D
223,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,15,D15,15,0.663,3.007,1.094,angle,15,0.593,2.8,0.958,angle,D
224,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,16,D16,16,0.416,2.372,0.816,,16,0.00E+00,0.37,0.184,gone,D
225,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,17,D17,17,0.255,1.844,0.631,,17,0.28,1.962,0.69,,D
226,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,18,D18,18,0.363,2.243,0.831,angle,18,0.342,2.245,0.884,,D
227,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,19,D19,19,NA,NA,NA,nv,19,0.144,1.382,0.484,,D
228,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,20,D20,20,NA,NA,NA,nv,20,0.003,0.46,0.233,nv,D
229,D1_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,21,D21,21,NA,NA,NA,nv,21,0.001,0.39,0.194,nv,D
230,D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,D1,1,0.542,2.719,0.986,,1,0.49,2.62,0.938,,D
231,D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,D2,2,0.47,2.51,0.872,,2,0.543,2.682,0.906,,D
232,D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,D3,3,0.859,3.416,1.255,angle,3,0.676,3.044,1.086,angle,D
233,D2_,D,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,D4,4,1.14,3.948,1.399,angle,4,NA,NA,NA,gone,D
234,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,1,D1,1,0.931,3.599,1.314,,,,,,,D
235,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,2,D2,2,0.532,2.684,0.976,,,,,,,D
236,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,3,D3,3,0.003,0.764,0.38,nv,,,,,,D
237,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,4,D4,4,0.101,1.16,0.411,,,,,,,D
238,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,5,D5,5,0.247,1.808,0.618,,,,,,,D
239,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,6,D6,6,1.23,4.098,1.443,,,,,,,D
240,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,7,D7,7,1.227,4.031,1.354,,,,,,,D
241,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,8,D8,8,0.467,2.499,0.813,,,,,,,D
242,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,9,D9,9,0.085,1.073,0.405,,,,,,,D
243,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,10,D10,10,0.001,0.508,0.254,nv,,,,,,D
244,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,11,D11,11,0.691,3.026,1.022,,,,,,,D
245,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,12,D12,12,1.017,3.693,1.277,,,,,,,D
246,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,13,D13,13,0.946,3.56,1.235,,,,,,,D
247,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,14,D14,14,0.17,1.549,0.57,,,,,,,D
248,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,15,D15,15,0.472,2.501,0.835,,,,,,,D
249,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,16,D16,16,0.39,2.287,0.804,,,,,,,D
250,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,17,D17,17,0.832,3.304,1.091,fuzzy,,,,,,D
251,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,18,D18,18,0.843,3.337,1.098,,,,,,,D
252,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,19,D19,19,0.001,0.869,0.434,angle,,,,,,D
253,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,20,D20,20,5.55E-04,0.275,0.137,nv,,,,,,D
254,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,21,D21,21,1.285,4.145,1.423,,,,,,,D
255,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,22,D22,22,0.011,0.982,0.5,angle,,,,,,D
256,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,23,D23,23,0.586,2.87,1.058,,,,,,,D
257,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,24,D24,24,0.575,2.826,0.961,,,,,,,D
258,D3_,D,past,11nov68_19apr70,11-Nov-68,19-Apr-70,1.44,SC,25,D25,25,0.522,2.641,0.923,,,,,,,D
259,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,1,D1,1,0.436,2.411,0.793,angle,1,0.52,2.662,0.931,,D
260,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,2,D2,2,0.783,3.246,1.136,,2,0.658,2.958,1.008,angle,D
261,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,3,D3,3,0.642,2.912,0.964,,3,0.482,2.559,0.931,angle,D
262,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,4,D4,4,0.811,3.299,1.111,,4,0.972,3.616,1.267,nv,D
263,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,5,D5,5,0.601,2.828,0.948,,5,0.644,2.941,1.029,nv,D
264,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,6,D6,6,0.514,2.623,0.864,,6,0.467,2.471,0.811,,D
265,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,7,D7,7,0.359,2.178,0.723,,7,0.003,0.809,0.403,gone,D
266,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,8,D8,8,0.418,2.361,0.775,,8,0.443,2.433,0.833,,D
267,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,9,D9,9,0.781,3.249,1.142,angle,9,0.711,3.132,1.143,angle,D
268,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,10,D10,10,0.717,3.075,1.055,,10,0.751,3.181,1.101,,D
269,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,11,D11,11,0.085,1.067,0.381,,11,0.218,1.712,0.576,,D
270,D4_,D,past,11nov68_6jan72,11-Nov-68,6-Jan-72,3.15,SC,12,D12,12,NA,NA,NA,nv,12,0.134,1.342,0.479,recruit,D
271,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC1_54_1,1,0.683,3.046,1.05,,1,0.002,0.376,0.187,nv,SC1
272,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC1_54_2,2,0.252,1.848,0.664,,2,0.247,1.823,0.626,,SC1
273,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC1_54_3,3,0.391,2.286,0.783,,3,0.561,2.736,0.958,,SC1
274,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC1_54_4,4,0.445,2.44,0.825,,4,0.491,2.559,0.889,,SC1
275,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,5,SC1_54_5,5,0.218,1.731,0.61,,5,0.446,2.451,0.826,,SC1
276,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,6,SC1_54_6,6,0.2,1.658,0.576,,6,0.497,2.563,0.848,,SC1
277,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,7,SC1_54_7,7,0.489,2.618,0.95,angle,7,9.97E-04,0.554,0.277,angle,SC1
278,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,8,SC1_54_8,8,0.507,2.6,0.87,angle,8,0.571,2.791,0.979,angle,SC1
279,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,9,SC1_54_9,9,0.453,2.553,0.933,angle,9,0.604,2.909,1.018,,SC1
280,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,10,SC1_54_10,10,0.245,1.809,0.593,angle,10,0.418,2.348,0.795,,SC1
281,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,11,SC1_54_11,11,0.426,2.431,0.88,angle,11,0.733,3.176,1.084,,SC1
282,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,12,SC1_54_12,12,0.542,2.673,0.892,,12,0.676,3.021,1.026,,SC1
283,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,13,SC1_54_13,13,0.294,2.009,0.661,,13,0.003,0.477,0.243,nv,SC1
284,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,14,SC1_54_14,14,0.682,3.007,0.985,,14,0.002,0.597,0.299,nv,SC1
285,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,15,SC1_54_15,15,0.072,0.981,0.341,,15,0.107,1.205,0.407,,SC1
286,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,16,SC1_54_16,16,0.046,0.773,0.268,,16,0.001,0.293,0.144,nv,SC1
287,SC1_54_,SC1_54_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,17,SC1_54_17,17,0.063,0.912,0.305,,17,0.156,1.432,0.474,,SC1
288,SC1_62_,SC1_62_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC1_62_1,1,0.765,3.226,1.116,,1,0.807,3.312,1.168,,SC1
289,SC1_62_,SC1_62_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC1_62_2,2,0.492,2.588,0.89,,2,0.747,3.187,1.033,,SC1
290,SC1_62_,SC1_62_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC1_62_3,3,0.299,2.016,0.687,,3,0.475,2.529,0.852,,SC1
291,SC1_62_,SC1_62_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC1_62_4,4,0.302,2.017,0.701,,4,0.003,0.697,0.348,nv,SC1
292,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC1_63_1,1,0.39,2.282,0.753,,1,0.661,2.991,1.038,,SC1
293,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC1_63_2,2,0.563,2.768,0.944,,2,0.54,2.729,0.962,,SC1
294,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC1_63_3,3,0.562,2.744,0.938,,3,0.471,2.548,0.864,angle,SC1
295,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC1_63_4,4,0.481,2.54,0.876,,4,0.547,2.739,0.945,,SC1
296,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,5,SC1_63_5,5,0.486,2.543,0.858,,5,0.705,3.054,1.031,,SC1
297,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,6,SC1_63_6,6,0.358,2.208,0.722,,6,0.37,2.24,0.772,,SC1
298,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,7,SC1_63_7,7,0.346,2.174,0.71,,7,0.206,1.699,0.623,angle,SC1
299,SC1_63_,SC1_63_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,8,SC1_63_8,8,0.177,1.56,0.532,,8,0.247,1.806,0.605,,SC1
300,SC1_64_,SC1_64_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC1_64_1,1,0.223,1.719,0.581,,1,NA,NA,NA,gone,SC1
301,SC1_64_,SC1_64_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC1_64_2,2,0.372,2.239,0.77,,2,NA,NA,NA,angle,SC1
302,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC4_36_1,1,0.303,2.042,0.72,,1,0.009,1.53,0.771,nv,SC4
303,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC4_36_2,2,0.277,1.947,0.675,,2,0.521,2.681,0.957,,SC4
304,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC4_36_3,3,0.123,1.286,0.438,,3,0.166,1.49,0.51,,SC4
305,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC4_36_4,4,0.348,2.166,0.743,,4,0.639,2.92,0.959,,SC4
306,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,5,SC4_36_5,5,0.74,3.22,1.181,,5,0.001,0.819,0.409,nv,SC4
307,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,6,SC4_36_6,6,0.388,2.358,0.791,angle,6,0.483,2.635,0.923,angle,SC4
308,SC4_36_,SC4_36_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,7,SC4_36_7,7,0.711,3.114,1.095,,7,0.721,3.138,1.132,,SC4
309,SC4_45_,SC4_45_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC4_45_1,1,0.005,0.801,0.395,angle,1,7.25E-04,0.56,0.28,angle,SC4
310,SC4_45_,SC4_45_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC4_45_2,2,0.642,2.964,0.994,,2,0.738,3.146,1.089,,SC4
311,SC4_45_,SC4_45_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC4_45_3,3,0.845,3.432,1.259,,3,0.002,0.55,0.272,nv,SC4
312,SC4_45_,SC4_45_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC4_45_4,4,0.95,3.608,1.219,,4,1.021,3.724,1.299,angle,SC4
313,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,1,SC5_33_1,1,0.384,2.263,0.788,,1,0.417,2.385,0.824,,SC5
314,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,2,SC5_33_2,2,0.409,2.354,0.815,angle,2,0.384,2.279,0.811,,SC5
315,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,3,SC5_33_3,3,0.427,2.375,0.788,,3,0.558,2.728,0.905,,SC5
316,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,4,SC5_33_4,4,0.132,1.33,0.451,,4,0.277,1.93,0.683,,SC5
317,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,5,SC5_33_5,5,0.711,3.1,1.065,,5,0.002,0.651,0.325,gone,SC5
318,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,6,SC5_33_6,6,0.279,1.915,0.628,,6,0.377,2.238,0.741,,SC5
319,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,7,SC5_33_7,7,0.4,2.311,0.771,,7,0.546,2.685,0.907,,SC5
320,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,8,SC5_33_8,8,0.452,2.46,0.871,,8,0.455,2.505,0.891,,SC5
321,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,9,SC5_33_9,9,0.571,2.802,1.011,,9,0.638,3.136,1.021,,SC5
322,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,10,SC5_33_10,10,0.342,2.135,0.731,angle,10,0.481,2.58,0.829,,SC5
323,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,11,SC5_33_11,11,0.259,1.861,0.649,,11,0.324,2.093,0.729,,SC5
324,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,12,SC5_33_12,12,0.386,2.284,0.759,,12,0.005,2.704,1.35,angle,SC5
325,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,13,SC5_33_13,13,0.353,2.183,0.755,,13,0.54,2.882,0.948,,SC5
326,SC5_33_,SC5_33_,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,14,SC5_33_14,14,0.159,1.451,0.478,,14,0.002,1.04,0.52,gone,SC5
