orig.row,quadOriginal,quad,tran,time,dates,ini.date,fin.date,elap.yr,site,coral.id,ini.area,fin.area
4,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_12,0.542,0.676
7,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_15,0.072,0.107
9,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_17,0.063,0.156
10,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_2,0.252,0.247
11,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_3,0.391,0.561
19,SC1_54,SC1_54,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_54_6,0.2,0.497
23,SC1_62,SC1_62,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_1,0.755,0.798
24,SC1_62,SC1_62,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_2,0.488,0.734
25,SC1_62,SC1_62,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_62_3,0.292,0.469
30,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_1,0.405,0.663
31,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_2,0.574,0.553
32,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_3,0.554,0.463
33,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_4,0.485,0.542
34,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_5,0.477,0.697
35,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_6,0.365,0.36
37,SC1_63,SC1_63,SC1,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC1_63_8,0.172,0.241
43,SC4_36,SC4_36,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_3,0.12,0.172
44,SC4_36,SC4_36,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_4,0.327,0.623
47,SC4_36,SC4_36,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_36_7,0.695,0.681
50,SC4_45,SC4_45,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_45_2,0.616,0.663
52,SC4_45,SC4_45,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_45_4,0.921,1.004
53,SC4_51,SC4_51,SC4,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC4_51_1,0.831,0.906
56,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_2,0.121,0.308
57,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_3,0.287,0.503
58,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_4,0.149,0.171
60,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_6,0.273,0.413
61,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_7,0.304,0.408
62,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_8,0.429,0.653
63,SC5_34,SC5_34,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_34_9,0.076,0.221
65,SC5_47,SC5_47,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_11,0.322,0.522
66,SC5_47,SC5_47,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_3,0.256,0.597
68,SC5_47,SC5_47,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_5,0.313,0.481
69,SC5_47,SC5_47,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_6,0.215,0.459
71,SC5_47,SC5_47,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_47_8,0.095,0.45
73,SC5_49,SC5_49,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_11,0.425,0.424
75,SC5_49,SC5_49,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_3,0.205,0.404
77,SC5_49,SC5_49,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_49_5,0.289,0.314
81,SC5_50,SC5_50,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_1,0.307,0.394
87,SC5_50,SC5_50,SC5,present,10dec07_3dec10,10-Dec-07,3-Dec-10,2.98,SC,SC5_50_15,0.116,0.185
