"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"202",202,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",38,"B38",38,0.662,3.031,1.083,"",38,0.827,3.342,1.142,"","B",-0.412489723045129,-0.189950583958446
"204",204,"B4_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",40,"B40",40,0.205,1.648,0.568,"",40,0.309,2.037,0.698,"","B",-1.58474529984373,-1.17441400208439
"209",209,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",1,"D1",1,0.672,3.013,1.02,"",1,0.849,3.365,1.137,"","D",-0.397496938458987,-0.16369609267079
"216",216,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",8,"D8",8,0.806,3.317,1.171,"",8,0.939,3.568,1.231,"","D",-0.215671536475509,-0.0629397997738742
"217",217,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",9,"D9",9,0.118,1.26,0.426,"",9,0.542,2.692,0.921,"","D",-2.13707065451647,-0.612489277542491
"218",218,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",10,"D10",10,0.062,0.909,0.318,"",10,0.309,2.025,0.668,"","D",-2.78062089393705,-1.17441400208439
"220",220,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",12,"D12",12,0.242,1.795,0.61,"",12,0.405,2.322,0.779,"","D",-1.41881755282545,-0.903868211875598
"224",224,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",16,"D16",16,0.416,2.372,0.816,"",16,0,0.37,0.184,"gone","D",-0.877070018720874,-Inf
"225",225,"D1_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",17,"D17",17,0.255,1.844,0.631,"",17,0.28,1.962,0.69,"","D",-1.36649173382371,-1.27296567581289
"230",230,"D2_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",1,"D1",1,0.542,2.719,0.986,"",1,0.49,2.62,0.938,"","D",-0.612489277542491,-0.713349887877465
"231",231,"D2_","D","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",2,"D2",2,0.47,2.51,0.872,"",2,0.543,2.682,0.906,"","D",-0.755022584278033,-0.610645959048202
"234",234,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",1,"D1",1,0.931,3.599,1.314,"",NA,NA,NA,NA,"","D",-0.0714960017050699,NA
"235",235,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",2,"D2",2,0.532,2.684,0.976,"",NA,NA,NA,NA,"","D",-0.631111789640493,NA
"237",237,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",4,"D4",4,0.101,1.16,0.411,"",NA,NA,NA,NA,"","D",-2.29263476214088,NA
"238",238,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",5,"D5",5,0.247,1.808,0.618,"",NA,NA,NA,NA,"","D",-1.39836694235416,NA
"239",239,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",6,"D6",6,1.23,4.098,1.443,"",NA,NA,NA,NA,"","D",0.207014169384326,NA
"240",240,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",7,"D7",7,1.227,4.031,1.354,"",NA,NA,NA,NA,"","D",0.204572165728774,NA
"241",241,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",8,"D8",8,0.467,2.499,0.813,"",NA,NA,NA,NA,"","D",-0.76142602131324,NA
"242",242,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",9,"D9",9,0.085,1.073,0.405,"",NA,NA,NA,NA,"","D",-2.46510402249182,NA
"244",244,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",11,"D11",11,0.691,3.026,1.022,"",NA,NA,NA,NA,"","D",-0.369615455214467,NA
"245",245,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",12,"D12",12,1.017,3.693,1.277,"",NA,NA,NA,NA,"","D",0.0168571170664228,NA
"246",246,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",13,"D13",13,0.946,3.56,1.235,"",NA,NA,NA,NA,"","D",-0.0555127099302588,NA
"247",247,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",14,"D14",14,0.17,1.549,0.57,"",NA,NA,NA,NA,"","D",-1.77195684193188,NA
"248",248,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",15,"D15",15,0.472,2.501,0.835,"",NA,NA,NA,NA,"","D",-0.750776293396582,NA
"249",249,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",16,"D16",16,0.39,2.287,0.804,"",NA,NA,NA,NA,"","D",-0.941608539858445,NA
"251",251,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",18,"D18",18,0.843,3.337,1.098,"",NA,NA,NA,NA,"","D",-0.170788320980282,NA
"254",254,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",21,"D21",21,1.285,4.145,1.423,"",NA,NA,NA,NA,"","D",0.250758718347183,NA
"256",256,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",23,"D23",23,0.586,2.87,1.058,"",NA,NA,NA,NA,"","D",-0.534435489405125,NA
"257",257,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",24,"D24",24,0.575,2.826,0.961,"",NA,NA,NA,NA,"","D",-0.553385238184787,NA
"258",258,"D3_","D","past","11nov68_19apr70","11-Nov-68","19-Apr-70",1.44,"SC",25,"D25",25,0.522,2.641,0.923,"",NA,NA,NA,NA,"","D",-0.650087691099498,NA
"260",260,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",2,"D2",2,0.783,3.246,1.136,"",2,0.658,2.958,1.008,"angle","D",-0.244622582991334,-0.41855034765682
"261",261,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",3,"D3",3,0.642,2.912,0.964,"",3,0.482,2.559,0.931,"angle","D",-0.443166975292176,-0.729811164931537
"262",262,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",4,"D4",4,0.811,3.299,1.111,"",4,0.972,3.616,1.267,"nv","D",-0.209487224866724,-0.028399474521698
"263",263,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",5,"D5",5,0.601,2.828,0.948,"",5,0.644,2.941,1.029,"nv","D",-0.509160344446929,-0.440056552877783
"264",264,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",6,"D6",6,0.514,2.623,0.864,"",6,0.467,2.471,0.811,"","D",-0.665532013526972,-0.76142602131324
"265",265,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",7,"D7",7,0.359,2.178,0.723,"",7,0.003,0.809,0.403,"gone","D",-1.02443289049386,-5.80914299031403
"266",266,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",8,"D8",8,0.418,2.361,0.775,"",8,0.443,2.433,0.833,"","D",-0.872273846457381,-0.814185508937001
"268",268,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",10,"D10",10,0.717,3.075,1.055,"",10,0.751,3.181,1.101,"","D",-0.332679438382517,-0.286349627218002
"269",269,"D4_","D","past","11nov68_6jan72","11-Nov-68","6-Jan-72",3.15,"SC",11,"D11",11,0.085,1.067,0.381,"",11,0.218,1.712,0.576,"","D",-2.46510402249182,-1.52326021619305
"271",271,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC1_54_1",1,0.683,3.046,1.05,"",1,0.002,0.376,0.187,"nv","SC1",-0.381260419411347,-6.21460809842219
"272",272,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC1_54_2",2,0.252,1.848,0.664,"",2,0.247,1.823,0.626,"","SC1",-1.37832619147071,-1.39836694235416
"273",273,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC1_54_3",3,0.391,2.286,0.783,"",3,0.561,2.736,0.958,"","SC1",-0.939047718996771,-0.578034373459441
"274",274,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC1_54_4",4,0.445,2.44,0.825,"",4,0.491,2.559,0.889,"","SC1",-0.809680996815897,-0.711311151187616
"275",275,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC1_54_5",5,0.218,1.731,0.61,"",5,0.446,2.451,0.826,"","SC1",-1.52326021619305,-0.807436326962073
"276",276,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC1_54_6",6,0.2,1.658,0.576,"",6,0.497,2.563,0.848,"","SC1",-1.6094379124341,-0.699165252885508
"282",282,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",12,"SC1_54_12",12,0.542,2.673,0.892,"",12,0.676,3.021,1.026,"","SC1",-0.612489277542491,-0.391562202939173
"283",283,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",13,"SC1_54_13",13,0.294,2.009,0.661,"",13,0.003,0.477,0.243,"nv","SC1",-1.22417551164346,-5.80914299031403
"284",284,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",14,"SC1_54_14",14,0.682,3.007,0.985,"",14,0.002,0.597,0.299,"nv","SC1",-0.382725621138675,-6.21460809842219
"285",285,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",15,"SC1_54_15",15,0.072,0.981,0.341,"",15,0.107,1.205,0.407,"","SC1",-2.63108915996608,-2.23492644452023
"286",286,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",16,"SC1_54_16",16,0.046,0.773,0.268,"",16,0.001,0.293,0.144,"nv","SC1",-3.07911388249304,-6.90775527898214
"287",287,"SC1_54_","SC1_54_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",17,"SC1_54_17",17,0.063,0.912,0.305,"",17,0.156,1.432,0.474,"","SC1",-2.7646205525906,-1.8578992717326
"288",288,"SC1_62_","SC1_62_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC1_62_1",1,0.765,3.226,1.116,"",1,0.807,3.312,1.168,"","SC1",-0.267879445155601,-0.214431610712188
"289",289,"SC1_62_","SC1_62_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC1_62_2",2,0.492,2.588,0.89,"",2,0.747,3.187,1.033,"","SC1",-0.709276562489829,-0.29169009384932
"290",290,"SC1_62_","SC1_62_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC1_62_3",3,0.299,2.016,0.687,"",3,0.475,2.529,0.852,"","SC1",-1.20731170559145,-0.744440474947496
"291",291,"SC1_62_","SC1_62_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC1_62_4",4,0.302,2.017,0.701,"",4,0.003,0.697,0.348,"nv","SC1",-1.19732826160727,-5.80914299031403
"292",292,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC1_63_1",1,0.39,2.282,0.753,"",1,0.661,2.991,1.038,"","SC1",-0.941608539858445,-0.414001439130451
"293",293,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC1_63_2",2,0.563,2.768,0.944,"",2,0.54,2.729,0.962,"","SC1",-0.574475650842447,-0.616186139423817
"294",294,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC1_63_3",3,0.562,2.744,0.938,"",3,0.471,2.548,0.864,"angle","SC1",-0.576253429088446,-0.752897184965719
"295",295,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC1_63_4",4,0.481,2.54,0.876,"",4,0.547,2.739,0.945,"","SC1",-0.731888008876376,-0.603306476560156
"296",296,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC1_63_5",5,0.486,2.543,0.858,"",5,0.705,3.054,1.031,"","SC1",-0.721546655081643,-0.349557476169868
"297",297,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC1_63_6",6,0.358,2.208,0.722,"",6,0.37,2.24,0.772,"","SC1",-1.02722229258144,-0.994252273343867
"298",298,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",7,"SC1_63_7",7,0.346,2.174,0.71,"",7,0.206,1.699,0.623,"angle","SC1",-1.06131650392441,-1.57987911019256
"299",299,"SC1_63_","SC1_63_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",8,"SC1_63_8",8,0.177,1.56,0.532,"",8,0.247,1.806,0.605,"","SC1",-1.73160554640831,-1.39836694235416
"300",300,"SC1_64_","SC1_64_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC1_64_1",1,0.223,1.719,0.581,"",1,NA,NA,NA,"gone","SC1",-1.50058350752202,NA
"301",301,"SC1_64_","SC1_64_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC1_64_2",2,0.372,2.239,0.77,"",2,NA,NA,NA,"angle","SC1",-0.988861424708991,NA
"302",302,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC4_36_1",1,0.303,2.042,0.72,"",1,0.009,1.53,0.771,"nv","SC4",-1.19402247347277,-4.71053070164592
"303",303,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC4_36_2",2,0.277,1.947,0.675,"",2,0.521,2.681,0.957,"","SC4",-1.2837377727948,-0.65200523722877
"304",304,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC4_36_3",3,0.123,1.286,0.438,"",3,0.166,1.49,0.51,"","SC4",-2.09557092360972,-1.79576749062559
"305",305,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC4_36_4",4,0.348,2.166,0.743,"",4,0.639,2.92,0.959,"","SC4",-1.05555279920766,-0.447850824604602
"306",306,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC4_36_5",5,0.74,3.22,1.181,"",5,0.001,0.819,0.409,"nv","SC4",-0.301105092783922,-6.90775527898214
"308",308,"SC4_36_","SC4_36_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",7,"SC4_36_7",7,0.711,3.114,1.095,"",7,0.721,3.138,1.132,"","SC4",-0.341082849178896,-0.327116141697188
"310",310,"SC4_45_","SC4_45_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC4_45_2",2,0.642,2.964,0.994,"",2,0.738,3.146,1.089,"","SC4",-0.443166975292176,-0.303811454381665
"311",311,"SC4_45_","SC4_45_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC4_45_3",3,0.845,3.432,1.259,"",3,0.002,0.55,0.272,"nv","SC4",-0.168418651624963,-6.21460809842219
"312",312,"SC4_45_","SC4_45_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC4_45_4",4,0.95,3.608,1.219,"",4,1.021,3.724,1.299,"angle","SC4",-0.0512932943875506,0.0207825391825284
"313",313,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC5_33_1",1,0.384,2.263,0.788,"",1,0.417,2.385,0.824,"","SC5",-0.95711272639441,-0.874669057183336
"315",315,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC5_33_3",3,0.427,2.375,0.788,"",3,0.558,2.728,0.905,"","SC5",-0.850971265753513,-0.583396316600826
"316",316,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC5_33_4",4,0.132,1.33,0.451,"",4,0.277,1.93,0.683,"","SC5",-2.02495335639577,-1.2837377727948
"317",317,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC5_33_5",5,0.711,3.1,1.065,"",5,0.002,0.651,0.325,"gone","SC5",-0.341082849178896,-6.21460809842219
"318",318,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC5_33_6",6,0.279,1.915,0.628,"",6,0.377,2.238,0.741,"","SC5",-1.27654349716077,-0.975510091534126
"319",319,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",7,"SC5_33_7",7,0.4,2.311,0.771,"",7,0.546,2.685,0.907,"","SC5",-0.916290731874155,-0.605136303237232
"320",320,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",8,"SC5_33_8",8,0.452,2.46,0.871,"",8,0.455,2.505,0.891,"","SC5",-0.794073099149906,-0.787457860031187
"321",321,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",9,"SC5_33_9",9,0.571,2.802,1.011,"",9,0.638,3.136,1.021,"","SC5",-0.560366069326127,-0.449416995637347
"323",323,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",11,"SC5_33_11",11,0.259,1.861,0.649,"",11,0.324,2.093,0.729,"","SC5",-1.3509272172826,-1.12701176318981
"324",324,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",12,"SC5_33_12",12,0.386,2.284,0.759,"",12,0.005,2.704,1.35,"angle","SC5",-0.951917909517306,-5.29831736654804
"325",325,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",13,"SC5_33_13",13,0.353,2.183,0.755,"",13,0.54,2.882,0.948,"","SC5",-1.04128722204884,-0.616186139423817
"326",326,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",14,"SC5_33_14",14,0.159,1.451,0.478,"",14,0.002,1.04,0.52,"gone","SC5",-1.83885107676191,-6.21460809842219
"327",327,"SC5_33_","SC5_33_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",15,"SC5_33_15",15,0.335,2.101,0.697,"",15,0.255,1.852,0.62,"","SC5",-1.09362474715707,-1.36649173382371
"328",328,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC5_34_1",1,0.192,1.597,0.521,"",1,0.354,2.181,0.736,"","SC5",-1.65025990695436,-1.03845836584836
"329",329,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC5_34_2",2,0.119,1.259,0.433,"",2,0.317,2.042,0.674,"","SC5",-2.12863178587061,-1.14885350510486
"330",330,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC5_34_3",3,0.276,1.931,0.658,"",3,0.539,2.701,0.911,"","SC5",-1.28735441326499,-0.61803970807314
"331",331,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC5_34_4",4,0.155,1.442,0.496,"",4,0.187,1.574,0.521,"","SC5",-1.86433016206289,-1.67664666212755
"332",332,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC5_34_5",5,0.111,1.222,0.405,"",5,0.000723,0.389,0.194,"gone","SC5",-2.1982250776698,-7.23210133580551
"333",333,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC5_34_6",6,0.259,1.859,0.644,"",6,0.459,2.503,0.858,"","SC5",-1.3509272172826,-0.778705068921592
"334",334,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",7,"SC5_34_7",7,0.297,2.008,0.715,"",7,0.417,2.365,0.804,"","SC5",-1.21402314017944,-0.874669057183336
"335",335,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",8,"SC5_34_8",8,0.433,2.403,0.8,"",8,0.68,3.012,1.025,"","SC5",-0.837017550979647,-0.385662480811985
"336",336,"SC5_34_","SC5_34_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",9,"SC5_34_9",9,0.071,1.001,0.343,"",9,0.23,1.749,0.598,"","SC5",-2.64507540194082,-1.46967597005894
"337",337,"SC5_47_","SC5_47_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC5_47_1",1,0.187,1.585,0.528,"",1,0.53,2.685,0.886,"","SC5",-1.67664666212755,-0.63487827243597
"338",338,"SC5_47_","SC5_47_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC5_47_2",2,0.194,1.641,0.562,"",2,0.625,2.891,0.976,"","SC5",-1.63989711991881,-0.470003629245736
"340",340,"SC5_47_","SC5_47_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC5_47_4",4,0.23,1.746,0.566,"",4,0.042,1.846,0.915,"nv","SC5",-1.46967597005894,-3.17008566069877
"341",341,"SC5_47_","SC5_47_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC5_47_5",5,0.334,2.136,0.722,"",5,0.477,2.782,0.872,"","SC5",-1.09661428600544,-0.740238788093796
"342",342,"SC5_47_","SC5_47_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC5_47_6",6,0.226,1.744,0.601,"",6,0.466,2.479,0.812,"","SC5",-1.48722027970985,-0.763569644856491
"343",343,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",1,"SC5_48_1",1,0.285,1.948,0.663,"",1,0.002,0.857,0.423,"gone","SC5",-1.25526609871349,-6.21460809842219
"344",344,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",2,"SC5_48_2",2,0.209,1.672,0.579,"",2,0.163,1.485,0.546,"angle","SC5",-1.56542102701733,-1.81400507817537
"345",345,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",3,"SC5_48_3",3,0.382,2.267,0.771,"",3,0.423,2.395,0.795,"","SC5",-0.962334670375562,-0.860383099935859
"346",346,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",4,"SC5_48_4",4,0.243,1.803,0.609,"",4,0.287,1.963,0.684,"","SC5",-1.41469383564159,-1.24827306322252
"347",347,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",5,"SC5_48_5",5,0.182,1.551,0.528,"",5,0.441,2.506,0.867,"","SC5",-1.70374859190534,-0.818710403535291
"348",348,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",6,"SC5_48_6",6,0.478,2.51,0.816,"",6,0.59,2.808,0.922,"","SC5",-0.738144546490681,-0.527632742082372
"349",349,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",7,"SC5_48_7",7,0.494,2.572,0.901,"",7,0.002,0.711,0.361,"gone","SC5",-0.705219761794215,-6.21460809842219
"350",350,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",8,"SC5_48_8",8,0.364,2.204,0.769,"",8,0.002,0.457,0.227,"gone","SC5",-1.0106014113454,-6.21460809842219
"351",351,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",9,"SC5_48_9",9,0.315,2.071,0.719,"",9,0.539,2.722,0.991,"","SC5",-1.1551826401565,-0.61803970807314
"352",352,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",10,"SC5_48_10",10,0.333,2.163,0.747,"",10,0.613,2.875,0.952,"","SC5",-1.09961278900169,-0.489390343045926
"353",353,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",11,"SC5_48_11",11,0.583,2.827,1.001,"",11,1.358,4.254,1.435,"tentacles","SC5",-0.539568092631645,0.306013029136504
"354",354,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",12,"SC5_48_12",12,0.599,2.863,0.994,"",12,0.562,2.757,0.933,"","SC5",-0.512493680866688,-0.576253429088446
"355",355,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",13,"SC5_48_13",13,0.672,3.009,1.068,"",13,0.789,3.28,1.094,"","SC5",-0.397496938458987,-0.236988958136263
"356",356,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",14,"SC5_48_14",14,0.363,2.198,0.741,"",14,0.839,3.368,1.137,"tentacles","SC5",-1.01335244471729,-0.175544572514931
"357",357,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",15,"SC5_48_15",15,0.618,2.929,1.034,"",15,0.006,0.553,0.266,"gone","SC5",-0.481266821524446,-5.11599580975408
"358",358,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",16,"SC5_48_16",16,0.782,3.234,1.11,"",16,0.771,3.246,1.171,"","SC5",-0.245900538436826,-0.260066905418808
"359",359,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",17,"SC5_48_17",17,0.635,2.916,0.969,"",17,0.007,1.264,0.63,"angle","SC5",-0.454130280089445,-4.96184512992682
"360",360,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",18,"SC5_48_18",18,0.708,3.11,1.051,"",18,0.756,3.173,1.096,"","SC5",-0.345311185288417,-0.279713902802604
"361",361,"SC5_48_","SC5_48_","present","10dec07_3dec10","10-Dec-07","3-Dec-10",2.98,"SC",19,"SC5_48_19",19,0.692,3.041,1.053,"",19,1.218,4.057,1.454,"tentacles","SC5",-0.368169323364468,0.197210169287705
