"","orig.order","quad1","quad","time","dates","ini.date","fin.date","elap.yr","site","coral","ID","Coral","ini.area","ini.perim","ini.feret","ini.notes","Coral.1","fin.area","fin.perim","fin.feret","fin.notes","tran","ini.areaLN","fin.areaLN"
"35",35,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",22,"B22",22,0.516,2.627,0.863,"",22,0.001,0.792,0.404,"nv","B",-0.661648513500574,-6.90775527898214
"36",36,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",23,"B23",23,0.777,3.232,1.107,"",23,0.714,3.085,1.043,"","B",-0.25231492861449,-0.336872316642553
"38",38,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",25,"B25",25,0.716,3.119,1.113,"",25,0.556,2.808,1.059,"angle","B",-0.334075112021491,-0.586986984731555
"39",39,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",26,"B26",26,0.273,1.899,0.624,"",26,0.398,2.296,0.79,"angle","B",-1.29828348379718,-0.921303273697699
"40",40,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",27,"B27",27,0.584,2.791,0.967,"",27,0.5,2.566,0.865,"","B",-0.53785429615391,-0.693147180559945
"41",41,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",28,"B28",28,0.377,2.227,0.737,"",28,0.501,2.579,0.862,"","B",-0.975510091534126,-0.691149177897272
"42",42,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",29,"B29",29,0.489,2.591,0.881,"",29,0.449,2.441,0.839,"","B",-0.715392789507265,-0.800732391239883
"43",43,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",30,"B30",30,0.973,3.634,1.281,"",30,0.919,3.555,1.302,"angle","B",-0.027371196796132,-0.08446915662645
"44",44,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",31,"B31",31,0.66,2.977,1.046,"",31,0.731,3.132,1.084,"","B",-0.415515443961666,-0.313341819232359
"45",45,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",32,"B32",32,0.223,1.724,0.58,"",32,0.472,2.514,0.876,"angle","B",-1.50058350752202,-0.750776293396582
"49",49,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",36,"B36",36,0.361,2.186,0.735,"",36,0.331,2.107,0.715,"nv","B",-1.01887732064926,-1.10563690360507
"50",50,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",37,"B37",37,0.584,2.813,1.011,"",37,0.668,2.959,0.962,"","B",-0.53785429615391,-0.403467105445491
"51",51,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",38,"B38",38,0.709,3.087,1.043,"",38,0.801,3.264,1.089,"","B",-0.34389975245001,-0.221894331913778
"54",54,"B1_","B","past","17jan69_6jan72","17-Jan-69","6-Jan-72",2.97,"SC",41,"B41",41,0.115,1.241,0.429,"",41,0.249,1.831,0.617,"","B",-2.16282315061889,-1.39030238251743
