"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"2","Era + Size",5,-226.60613511117,0,1,0.40029706342874,118.512857765375,0.40029706342874
"3","Size",4,-226.29381678498,0.312318326189171,0.855423027758997,0.342423326001248,117.285797281379,0.742720389429987
"1","Era x Size",6,-225.722048195772,0.884086915397262,0.642721703642509,0.257279610570013,119.156798745773,1
"4","Era",4,-19.0028879800298,207.60324713114,8.30859658684982e-46,3.32590681493003e-46,13.6403328789038,1
"5","Null model",3,-13.3275398207001,213.278595290469,4.86565686724853e-47,1.94770815561146e-47,9.74652853103968,1
