"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","Size",3,184.222200750396,0,1,0.51342640400773,-89.0547623470289,0.51342640400773
"1","Era x Size",5,186.035918739924,1.81371798952819,0.403790542444168,0.20731672617944,-87.8757792751753,0.720743130187169
"2","Era + Size",4,186.284366821596,2.06216607119993,0.356620518624382,0.183098390472688,-89.0478437881563,0.903841520659857
"5","Null model",2,188.237129900003,4.01492914960681,0.134328823959943,0.0689679650403407,-92.0905275668237,0.972809485700198
"4","Era",3,190.098677797023,5.87647704662717,0.0529589325511055,0.027190514299802,-91.9930008703425,1
