"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"2","Null model",3,344.206615322902,0,1,0.578425887611991,-168.603307661451,0.578425887611991
"1","Era",4,344.839244992977,0.632629670074948,0.728829952837105,0.421574112388009,-167.550057279097,1
